tester_name,predicted_label,left_angle,right_angle,x11,y11,x12,y12,x23,y23,x24,y24,x25,y25,x26,y26
A,1,115.69819356350656,164.34195391283848,0.7776332497596741,0.20745043456554413,0.7101048827171326,0.24798528850078583,0.8324441909790039,0.3416905701160431,0.7967110276222229,0.383253276348114,0.8657651543617249,0.3407977819442749,0.8398280143737793,0.5071576833724976
A,0,162.66503090479796,173.25381495848603,0.3759530782699585,0.1175508201122284,0.49883362650871277,0.09483185410499573,0.43276166915893555,0.4611470401287079,0.49458497762680054,0.4533992409706116,0.4298408329486847,0.6704667806625366,0.5068241357803345,0.6640945672988892
A,1,42.3866142031917,27.023644318211595,0.462374746799469,0.5709636807441711,0.5148190259933472,0.5505421757698059,0.45483216643333435,0.46512335538864136,0.4994909465312958,0.4486108422279358,0.4047887921333313,0.5876616835594177,0.5227162837982178,0.4954124093055725
A,1,105.33022126787438,80.10462265085027,0.5219114422798157,0.650749683380127,0.5210253596305847,0.6933731436729431,0.45769888162612915,0.6291287541389465,0.4575492739677429,0.6471672654151917,0.43030500411987305,0.7277253866195679,0.44515255093574524,0.7434917688369751
A,1,27.87508164172418,38.323885165062165,0.4366607666015625,0.6129470467567444,0.4995976388454437,0.5792730450630188,0.42907989025115967,0.4805816113948822,0.48466137051582336,0.45342782139778137,0.39536890387535095,0.6252496838569641,0.5419685244560242,0.538558840751648
A,1,3.8187754479079183,11.05973415382267,0.45137643814086914,0.5826623439788818,0.47549718618392944,0.5468971729278564,0.44729772210121155,0.5063022971153259,0.4681509733200073,0.48534244298934937,0.46520400047302246,0.7081049084663391,0.5032429099082947,0.6349085569381714
A,1,21.150996967217814,6.272198368595467,0.472903847694397,0.4598067104816437,0.4955410063266754,0.4707425534725189,0.48119133710861206,0.4000365436077118,0.4911724328994751,0.4164705276489258,0.493062287569046,0.5575159788131714,0.5164476037025452,0.5869289636611938
A,1,13.302726641000993,21.142646212140185,0.443039208650589,0.5933150053024292,0.4647906720638275,0.5931217670440674,0.4638771712779999,0.50855952501297,0.4732135236263275,0.5113819241523743,0.4560132920742035,0.5897126197814941,0.4860200881958008,0.6387936472892761
A,1,10.821754067124083,25.6505027943605,0.4593968093395233,0.6602203845977783,0.45334601402282715,0.6116487979888916,0.479861319065094,0.5264216661453247,0.4779168963432312,0.49966496229171753,0.47590717673301697,0.6192660331726074,0.4828266501426697,0.6179113984107971
A,1,30.686967479895763,33.468392931073765,0.49208465218544006,0.5475810766220093,0.42495203018188477,0.5682608485221863,0.47509947419166565,0.46217888593673706,0.43474817276000977,0.4935359060764313,0.5244274139404297,0.5368828773498535,0.4607478082180023,0.6197980642318726
A,1,1.2057537002456908,22.51498013016033,0.3921940326690674,0.632771909236908,0.43181633949279785,0.6290712356567383,0.40221482515335083,0.5034937858581543,0.43504956364631653,0.514898419380188,0.3962986171245575,0.5943565368652344,0.46462348103523254,0.6613197922706604
A,1,69.48713589603229,18.638003138535,0.4728955924510956,0.6069167256355286,0.4152703881263733,0.6052203178405762,0.46387121081352234,0.41984134912490845,0.4200781583786011,0.43746310472488403,0.5173248648643494,0.44616425037384033,0.4011397957801819,0.521468997001648
A,1,172.11561849551396,172.71069238897954,0.3873651325702667,0.10115626454353333,0.5024673938751221,0.08486515283584595,0.4195346534252167,0.43293625116348267,0.49072620272636414,0.42818483710289,0.4233693480491638,0.5851706862449646,0.4990190863609314,0.6363909244537354
A,1,169.75113104616872,172.08680870073454,0.5421513319015503,0.1077519953250885,0.40736284852027893,0.11082500219345093,0.5190298557281494,0.46833446621894836,0.4353445768356323,0.47037410736083984,0.5275763869285583,0.6938516497612,0.4358278810977936,0.6912519931793213
A,1,169.75113104616872,172.08680870073454,0.5421513319015503,0.1077519953250885,0.40736284852027893,0.11082500219345093,0.5190298557281494,0.46833446621894836,0.4353445768356323,0.47037410736083984,0.5275763869285583,0.6938516497612,0.4358278810977936,0.6912519931793213
